Comment,Designator,Footprint,LCSC
ESP32-S3-WROOM-1-N16R8,U1,Module_ESP32-S3-WROOM-1,C2913202
IP5306,U2,ESOP-8,C181692
AMS1117-3.3,U3,SOT-223,C6186
PAM8403,U5,SOP-16,C5122557
USB-C 16-pin,J1,USB-C-SMD-16P,C2765186
Micro SD Card Slot,U6,TF-01A,C91145
FPC 40-pin 0.5mm,J4,FPC-40P-0.5mm,TBD
JST PH 2-pin,J3,JST-PH-2P-Vertical,C173752
1uH 4.5A Inductor,L1,SMD-4x4x2mm,C280579
5.1k 0805,R1 R2,R_0805,C27834
10k 0805,R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R19,R_0805,C17414
100k 0805,R16,R_0805,C149504
1k 0805,R17 R18,R_0805,C11702
100nF 0805,C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C20,C_0805,C49678
10uF 0805,C1 C17 C18,C_0805,C15850
22uF 1206,C2 C19,C_1206,C29632
SMT Tact Switch 5.1x5.1mm,SW1 SW2 SW3 SW4 SW5 SW6 SW7 SW8 SW9 SW10 SW11 SW12 SW13,SW-SMD-5.1x5.1,C318884
